"","city","city_ibge_code","date","epidemiological_week","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","new_confirmed","new_deaths","order_for_place","place_type","state"
"1","Rio de Janeiro",3304557,"2020-06-28",27,6718903,FALSE,TRUE,55152,820.84828,"2020-06-26",0.1136,6264,0,0,115,"city","RJ"
"2","Rio de Janeiro",3304557,"2020-06-27",26,6718903,FALSE,TRUE,55152,820.84828,"2020-06-26",0.1136,6264,0,0,114,"city","RJ"
"3","Rio de Janeiro",3304557,"2020-06-26",26,6718903,TRUE,FALSE,55152,820.84828,"2020-06-26",0.1136,6264,983,103,113,"city","RJ"
"4","Rio de Janeiro",3304557,"2020-06-25",26,6718903,FALSE,FALSE,54169,806.21792,"2020-06-25",0.1137,6161,862,74,112,"city","RJ"
"5","Rio de Janeiro",3304557,"2020-06-24",26,6718903,FALSE,FALSE,53307,793.38844,"2020-06-24",0.1142,6087,982,87,111,"city","RJ"
"6","Rio de Janeiro",3304557,"2020-06-23",26,6718903,FALSE,FALSE,52325,778.77296,"2020-06-23",0.1147,6000,1403,125,110,"city","RJ"
"7","Rio de Janeiro",3304557,"2020-06-22",26,6718903,FALSE,FALSE,50922,757.89158,"2020-06-22",0.1154,5875,492,43,109,"city","RJ"
"8","Rio de Janeiro",3304557,"2020-06-21",26,6718903,FALSE,FALSE,50430,750.56895,"2020-06-21",0.1156,5832,301,41,108,"city","RJ"
"9","Rio de Janeiro",3304557,"2020-06-20",25,6718903,FALSE,FALSE,50129,746.08906,"2020-06-20",0.1155,5791,1376,159,107,"city","RJ"
"10","Rio de Janeiro",3304557,"2020-06-19",25,6718903,FALSE,FALSE,48753,725.60952,"2020-06-19",0.1155,5632,2498,124,106,"city","RJ"
"11","Rio de Janeiro",3304557,"2020-06-18",25,6718903,FALSE,FALSE,46255,688.43083,"2020-06-18",0.1191,5508,277,165,105,"city","RJ"
"12","Rio de Janeiro",3304557,"2020-06-17",25,6718903,FALSE,FALSE,45978,684.30814,"2020-06-17",0.1162,5343,2104,104,104,"city","RJ"
"13","Rio de Janeiro",3304557,"2020-06-16",25,6718903,FALSE,FALSE,43874,652.9935,"2020-06-16",0.1194,5239,1489,149,103,"city","RJ"
"14","Rio de Janeiro",3304557,"2020-06-15",25,6718903,FALSE,FALSE,42385,630.83215,"2020-06-15",0.1201,5090,617,47,102,"city","RJ"
"15","Rio de Janeiro",3304557,"2020-06-14",25,6718903,FALSE,FALSE,41768,621.6491,"2020-06-14",0.1207,5043,357,50,101,"city","RJ"
"16","Rio de Janeiro",3304557,"2020-06-13",24,6718903,FALSE,FALSE,41411,616.33573,"2020-06-13",0.1206,4993,907,116,100,"city","RJ"
"17","Rio de Janeiro",3304557,"2020-06-12",24,6718903,FALSE,FALSE,40504,602.8365,"2020-06-12",0.1204,4877,487,27,99,"city","RJ"
"18","Rio de Janeiro",3304557,"2020-06-11",24,6718903,FALSE,FALSE,40017,595.5883,"2020-06-11",0.1212,4850,1057,134,98,"city","RJ"
"19","Rio de Janeiro",3304557,"2020-06-10",24,6718903,FALSE,FALSE,38960,579.85656,"2020-06-10",0.121,4716,1057,117,97,"city","RJ"
